"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jan 12 20:20:08 UTC 2026","Mon Jan 12 20:20:08 UTC 2026","139","","ratelimit.RateLimitTest","","ratelimit.RateLimitTest","deveRespeitarRateLimit","deveRespeitarRateLimit()","Validação resiliente do rate limit da API"
"passed","Mon Jan 12 20:20:08 UTC 2026","Mon Jan 12 20:20:08 UTC 2026","95","","users.CreateUserTest","","users.CreateUserTest","deveCriarUsuarioComSucesso","deveCriarUsuarioComSucesso()","Criação de usuário com dados válidos"
"passed","Mon Jan 12 20:20:08 UTC 2026","Mon Jan 12 20:20:08 UTC 2026","100","","users.CreateUserTest","","users.CreateUserTest","naoDeveCriarUsuarioSemNome","naoDeveCriarUsuarioSemNome()","Criação de usuário sem campo obrigatório"
"passed","Mon Jan 12 20:20:08 UTC 2026","Mon Jan 12 20:20:09 UTC 2026","93","","users.GetUserTest","","users.GetUserTest","deveRetornarErroUsuarioInexistente","deveRetornarErroUsuarioInexistente()","Busca de usuário inexistente"
"passed","Mon Jan 12 20:20:09 UTC 2026","Mon Jan 12 20:20:09 UTC 2026","99","","users.UpdateUserTest","","users.UpdateUserTest","deveCriarUsuarioAoAtualizarInexistente","deveCriarUsuarioAoAtualizarInexistente()","Atualização de usuário inexistente cria novo usuário (upsert)"
"passed","Mon Jan 12 20:20:09 UTC 2026","Mon Jan 12 20:20:09 UTC 2026","91","","users.DeleteUserTest","","users.DeleteUserTest","deveRetornarMensagemUsuarioNaoExiste","deveRetornarMensagemUsuarioNaoExiste()","Exclusão de usuário inexistente retorna mensagem"
"passed","Mon Jan 12 20:20:08 UTC 2026","Mon Jan 12 20:20:08 UTC 2026","258","","auth.LoginTest","","auth.LoginTest","deveGerarTokenComSucesso","deveGerarTokenComSucesso()","Login com credenciais válidas gera token JWT"
"passed","Mon Jan 12 20:20:06 UTC 2026","Mon Jan 12 20:20:08 UTC 2026","1781","","contracts.UserContractTest","","contracts.UserContractTest","deveValidarContrato","deveValidarContrato()","Validação do contrato básico de usuários"
"passed","Mon Jan 12 20:20:09 UTC 2026","Mon Jan 12 20:20:09 UTC 2026","526","","users.GetUserTest","","users.GetUserTest","deveListarUsuarios","deveListarUsuarios()","Listagem de usuários"
"passed","Mon Jan 12 20:20:08 UTC 2026","Mon Jan 12 20:20:08 UTC 2026","102","","auth.LoginTest","","auth.LoginTest","deveFalharLoginInvalido","deveFalharLoginInvalido()","Login com credenciais inválidas retorna erro"
